name,email,phoneNumber,status
Ahmed Khan,ahmed.khan@gmail.com,+923001234567,New
Fatima Ali,fatima.ali@yahoo.com,+923214567890,New
Muhammad Usman,m.usman@gmail.com,+923331234567,In-Progress
Ayesha Malik,ayesha.m@hotmail.com,+923451234567,New
Zainab Hassan,zainab.h@gmail.com,+923121234567,Completed
Omar Farooq,omar.f@yahoo.com,+923341234567,New
Saira Shahid,saira.s@gmail.com,+923211234567,In-Progress
Bilal Ahmed,bilal.a@hotmail.com,+923151234567,New
Mehreen Qureshi,mehreen.q@gmail.com,+923361234567,Completed
Hassan Ali,hassan.ali@yahoo.com,+923171234567,New
Nadia Khan,nadia.k@gmail.com,+923381234567,In-Progress
Imran Malik,imran.m@hotmail.com,+923191234567,New
Sana Raza,sana.r@gmail.com,+923401234567,Completed
Kamran Sheikh,kamran.s@yahoo.com,+923211234568,New
Amna Hussain,amna.h@gmail.com,+923421234567,In-Progress
Faisal Khan,faisal.k@hotmail.com,+923231234567,New
Hira Ahmed,hira.a@gmail.com,+923441234567,Completed
Asad Mahmood,asad.m@yahoo.com,+923251234567,New
Sadia Malik,sadia.m@gmail.com,+923461234567,In-Progress
Talha Siddiqui,talha.s@hotmail.com,+923271234567,New
